geoid,county,rent_cost,housing_mortgage,medincome,commuter,pop_housing,totpop,HHsize,HH,HousingUnits,OwnerUnits,RentalUnits,vehicle,public_transit,drivealone
484530015042,453,2014,2463,83571,503,826,826,2.33,354,403,257,97,542.0,14,299
484530015043,453,1177,2419,111944,786,1517,1522,2.59,586,586,412,174,1087.0,0,634
484530015044,453,1205,2192,143750,1277,1829,1958,2.5,732,781,538,194,1132.0,0,1050
484530015051,453,1736,2743,107027,407,709,709,2.0,354,495,283,71,608.0,31,267
484530015052,453,1150,1823,52273,916,1507,1515,2.06,730,749,247,483,1134.0,19,732
484530015053,453,1442,2971,68024,1072,1497,1502,2.03,737,737,282,455,1269.0,109,622
484530015054,453,1132,1998,77639,696,1055,1055,1.92,550,550,217,333,821.0,21,604
484530016021,453,1423,3192,101625,992,1435,1435,1.97,729,774,484,245,1172.0,8,733
484530016022,453,1856,4001,116500,535,771,771,1.86,414,494,141,273,673.0,19,437
484530016023,453,775,0,32073,869,1158,1158,2.15,538,635,0,538,614.0,456,360
484530016031,453,2260,3198,160938,487,1014,1014,2.83,358,405,299,59,664.0,16,363
484530016032,453,1550,2939,118523,601,1003,1003,2.35,427,450,328,99,812.0,0,495
484530016033,453,0,4001,200375,261,537,537,2.59,207,243,196,11,,0,214
484530016034,453,2583,4001,208942,421,977,977,3.08,317,340,274,43,722.0,8,321
484530016035,453,1684,3719,150417,961,1705,1705,3.17,538,630,389,149,1202.0,0,721
484530016041,453,2729,3860,183929,567,1337,1337,2.43,550,680,485,65,1030.0,0,465
484530016042,453,2091,3711,169038,320,678,678,2.49,272,287,238,34,475.0,0,268
484530016043,453,1792,4001,180313,374,954,954,2.59,369,405,337,32,662.0,0,315
484530016044,453,0,4001,0,585,1038,1038,2.24,464,491,334,130,868.0,0,458
484530016051,453,1316,4001,180234,895,1689,1694,2.57,656,777,464,192,1293.0,0,801
484530016052,453,1515,3246,99583,536,730,730,1.71,428,523,225,203,756.0,16,408
484530016053,453,1618,4001,139559,468,703,703,2.21,318,433,180,138,604.0,18,325
484530016054,453,1214,4001,71774,593,825,841,1.66,496,524,239,257,707.0,0,343
484530016061,453,0,0,0,8,0,16,0.0,0,0,0,0,0.0,2,1
484530017051,453,1533,4001,134038,563,1064,1064,2.06,516,596,269,247,919.0,0,466
484530017052,453,0,3479,196836,497,1321,1321,2.73,483,483,462,21,,0,339
484530017053,453,0,4001,124453,420,840,840,2.09,401,401,371,30,,0,277
484530017054,453,1535,3370,95927,1011,1631,1693,1.91,854,944,404,450,1285.0,0,724
484530017061,453,1637,2686,118661,469,1062,1062,2.12,501,501,408,93,985.0,0,351
